match_id,season,date,date_raw,competition,home_team,away_team,home_score,away_score
820686,2019-2020,2019-10-19,"Saturday, 19 Oct 2019",Sussex Div. 3 East,East Grinstead II,Eastbourne II,55,45
849663,2019-2020,2019-10-26,"Saturday, 26 Oct 2019",Sussex Div. 3 East,East Grinstead II,St Leonards Cinque Ports,30,10
820694,2019-2020,2019-11-09,"Saturday, 09 Nov 2019",Sussex Div. 3 East,East Grinstead II,Heathfield & Waldron II,34,17
820702,2019-2020,2019-11-23,"Saturday, 23 Nov 2019",Sussex Div. 3 East,East Grinstead II,Hellingly II,,
820710,2019-2020,2019-12-14,"Saturday, 14 Dec 2019",Sussex Div. 3 East,Rye,East Grinstead II,40,0
820714,2019-2020,2020-01-11,"Saturday, 11 Jan 2020",Sussex Div. 3 East,East Grinstead II,Uckfield II,28,14
820717,2019-2020,2020-01-18,"Saturday, 18 Jan 2020",Sussex Div. 3 East,Eastbourne II,East Grinstead II,19,29
820722,2019-2020,2020-01-25,"Saturday, 25 Jan 2020",Sussex Div. 3 East,East Grinstead II,St Leonards Cinque Ports,,
820725,2019-2020,2020-02-15,"Saturday, 15 Feb 2020",Sussex Div. 3 East,Heathfield & Waldron II,East Grinstead II,,
820732,2019-2020,2020-02-29,"Saturday, 29 Feb 2020",Sussex Div. 3 East,Hellingly II,East Grinstead II,,
820738,2019-2020,2020-03-21,"Saturday, 21 Mar 2020",Sussex Div. 3 East,East Grinstead II,Rye,,
820740,2019-2020,2020-03-28,"Saturday, 28 Mar 2020",Sussex Div. 3 East,East Grinstead II,Lewes II,,
